T E X A S  E D U C A T I O N  A G E N C Y,,,,,,,
,,,,,,,
PEIMS Student Enrollment Data for 2014-2015,,,,,,,
,,,,,,,
Year,Region,County Name,District Name,District Number,Charter Status,Gender,Enrollment
2014-2015,03,WHARTON COUNTY,EAST BERNARD ISD,241902,TRADITIONAL ISD/CSD,Female,492
2014-2015,03,WHARTON COUNTY,EAST BERNARD ISD,241902,TRADITIONAL ISD/CSD,Male,489
2014-2015,20,BEXAR COUNTY,EAST CENTRAL ISD,015911,TRADITIONAL ISD/CSD,Female,4692
2014-2015,20,BEXAR COUNTY,EAST CENTRAL ISD,015911,TRADITIONAL ISD/CSD,Male,5144
2014-2015,05,CHAMBERS COUNTY,EAST CHAMBERS ISD,036903,TRADITIONAL ISD/CSD,Female,687
2014-2015,05,CHAMBERS COUNTY,EAST CHAMBERS ISD,036903,TRADITIONAL ISD/CSD,Male,738
2014-2015,11,TARRANT COUNTY,EAST FORT WORTH MONTESSORI ACADEMY,220811,OPEN ENROLLMENT CHARTER,Female,234
2014-2015,11,TARRANT COUNTY,EAST FORT WORTH MONTESSORI ACADEMY,220811,OPEN ENROLLMENT CHARTER,Male,258
2014-2015,07,GREGG COUNTY,EAST TEXAS CHARTER SCHOOLS,092801,OPEN ENROLLMENT CHARTER,Female,111
2014-2015,07,GREGG COUNTY,EAST TEXAS CHARTER SCHOOLS,092801,OPEN ENROLLMENT CHARTER,Male,63
2014-2015,14,EASTLAND COUNTY,EASTLAND ISD,067903,TRADITIONAL ISD/CSD,Female,502
2014-2015,14,EASTLAND COUNTY,EASTLAND ISD,067903,TRADITIONAL ISD/CSD,Male,586
2014-2015,18,ECTOR COUNTY,ECTOR COUNTY ISD,068901,TRADITIONAL ISD/CSD,Female,15657
2014-2015,18,ECTOR COUNTY,ECTOR COUNTY ISD,068901,TRADITIONAL ISD/CSD,Male,16314
2014-2015,10,FANNIN COUNTY,ECTOR ISD,074905,TRADITIONAL ISD/CSD,Female,144
2014-2015,10,FANNIN COUNTY,ECTOR ISD,074905,TRADITIONAL ISD/CSD,Male,126
2014-2015,01,HIDALGO COUNTY,EDCOUCH-ELSA ISD,108903,TRADITIONAL ISD/CSD,Female,2466
2014-2015,01,HIDALGO COUNTY,EDCOUCH-ELSA ISD,108903,TRADITIONAL ISD/CSD,Male,2583
2014-2015,15,CONCHO COUNTY,EDEN CISD,048901,TRADITIONAL ISD/CSD,Female,128
2014-2015,15,CONCHO COUNTY,EDEN CISD,048901,TRADITIONAL ISD/CSD,Male,119
2014-2015,07,VAN ZANDT COUNTY,EDGEWOOD ISD,234903,TRADITIONAL ISD/CSD,Female,447
2014-2015,20,BEXAR COUNTY,EDGEWOOD ISD,015905,TRADITIONAL ISD/CSD,Female,5730
2014-2015,07,VAN ZANDT COUNTY,EDGEWOOD ISD,234903,TRADITIONAL ISD/CSD,Male,468
2014-2015,20,BEXAR COUNTY,EDGEWOOD ISD,015905,TRADITIONAL ISD/CSD,Male,6005
2014-2015,01,HIDALGO COUNTY,EDINBURG CISD,108904,TRADITIONAL ISD/CSD,Female,16736
2014-2015,01,HIDALGO COUNTY,EDINBURG CISD,108904,TRADITIONAL ISD/CSD,Male,17549
2014-2015,03,JACKSON COUNTY,EDNA ISD,120901,TRADITIONAL ISD/CSD,Female,762
2014-2015,03,JACKSON COUNTY,EDNA ISD,120901,TRADITIONAL ISD/CSD,Male,811
2014-2015,10,DALLAS COUNTY,EDUCATION CENTER INTERNATIONAL ACA,057833,OPEN ENROLLMENT CHARTER,Female,212
2014-2015,10,DALLAS COUNTY,EDUCATION CENTER INTERNATIONAL ACA,057833,OPEN ENROLLMENT CHARTER,Male,187
2014-2015,05,JEFFERSON COUNTY,EHRHART SCHOOL,123805,OPEN ENROLLMENT CHARTER,Female,164
2014-2015,05,JEFFERSON COUNTY,EHRHART SCHOOL,123805,OPEN ENROLLMENT CHARTER,Male,122
2014-2015,03,WHARTON COUNTY,EL CAMPO ISD,241903,TRADITIONAL ISD/CSD,Female,1757
2014-2015,03,WHARTON COUNTY,EL CAMPO ISD,241903,TRADITIONAL ISD/CSD,Male,1867
2014-2015,19,EL PASO COUNTY,EL PASO ACADEMY,071804,OPEN ENROLLMENT CHARTER,Female,234
2014-2015,19,EL PASO COUNTY,EL PASO ACADEMY,071804,OPEN ENROLLMENT CHARTER,Male,226
2014-2015,19,EL PASO COUNTY,EL PASO ISD,071902,TRADITIONAL ISD/CSD,Female,29593
2014-2015,19,EL PASO COUNTY,EL PASO ISD,071902,TRADITIONAL ISD/CSD,Male,31259
2014-2015,19,EL PASO COUNTY,EL PASO LEADERSHIP ACADEMY,071810,OPEN ENROLLMENT CHARTER,Female,42
2014-2015,19,EL PASO COUNTY,EL PASO LEADERSHIP ACADEMY,071810,OPEN ENROLLMENT CHARTER,Male,35
2014-2015,20,BEXAR COUNTY,ELEANOR KOLITZ HEBREW LANGUAGE ACA,015836,OPEN ENROLLMENT CHARTER,Female,129
2014-2015,20,BEXAR COUNTY,ELEANOR KOLITZ HEBREW LANGUAGE ACA,015836,OPEN ENROLLMENT CHARTER,Male,129
2014-2015,09,WICHITA COUNTY,ELECTRA ISD,243902,TRADITIONAL ISD/CSD,Female,182
2014-2015,09,WICHITA COUNTY,ELECTRA ISD,243902,TRADITIONAL ISD/CSD,Male,228
2014-2015,13,BASTROP COUNTY,ELGIN ISD,011902,TRADITIONAL ISD/CSD,Female,2101
2014-2015,13,BASTROP COUNTY,ELGIN ISD,011902,TRADITIONAL ISD/CSD,Male,2176
2014-2015,07,ANDERSON COUNTY,ELKHART ISD,001903,TRADITIONAL ISD/CSD,Female,576
2014-2015,07,ANDERSON COUNTY,ELKHART ISD,001903,TRADITIONAL ISD/CSD,Male,641
2014-2015,07,HARRISON COUNTY,ELYSIAN FIELDS ISD,102906,TRADITIONAL ISD/CSD,Female,483
2014-2015,07,HARRISON COUNTY,ELYSIAN FIELDS ISD,102906,TRADITIONAL ISD/CSD,Male,509
2014-2015,10,ELLIS COUNTY,ENNIS ISD,070903,TRADITIONAL ISD/CSD,Female,2812
2014-2015,10,ELLIS COUNTY,ENNIS ISD,070903,TRADITIONAL ISD/CSD,Male,2990
2014-2015,11,COOKE COUNTY,ERA ISD,049906,TRADITIONAL ISD/CSD,Female,245
2014-2015,11,COOKE COUNTY,ERA ISD,049906,TRADITIONAL ISD/CSD,Male,227
2014-2015,11,ERATH COUNTY,ERATH EXCELS ACADEMY INC,072802,OPEN ENROLLMENT CHARTER,Female,84
2014-2015,11,ERATH COUNTY,ERATH EXCELS ACADEMY INC,072802,OPEN ENROLLMENT CHARTER,Male,111
2014-2015,07,NACOGDOCHES COUNTY,ETOILE ISD,174910,TRADITIONAL ISD/CSD,Female,69
2014-2015,07,NACOGDOCHES COUNTY,ETOILE ISD,174910,TRADITIONAL ISD/CSD,Male,61
2014-2015,14,CALLAHAN COUNTY,EULA ISD,030906,TRADITIONAL ISD/CSD,Female,216
2014-2015,14,CALLAHAN COUNTY,EULA ISD,030906,TRADITIONAL ISD/CSD,Male,189
2014-2015,07,HENDERSON COUNTY,EUSTACE ISD,107905,TRADITIONAL ISD/CSD,Female,786
2014-2015,07,HENDERSON COUNTY,EUSTACE ISD,107905,TRADITIONAL ISD/CSD,Male,727
2014-2015,05,JASPER COUNTY,EVADALE ISD,121906,TRADITIONAL ISD/CSD,Female,222
2014-2015,05,JASPER COUNTY,EVADALE ISD,121906,TRADITIONAL ISD/CSD,Male,260
2014-2015,12,CORYELL COUNTY,EVANT ISD,050901,TRADITIONAL ISD/CSD,Female,137
2014-2015,12,CORYELL COUNTY,EVANT ISD,050901,TRADITIONAL ISD/CSD,Male,122
2014-2015,11,TARRANT COUNTY,EVERMAN ISD,220904,TRADITIONAL ISD/CSD,Female,2761
2014-2015,11,TARRANT COUNTY,EVERMAN ISD,220904,TRADITIONAL ISD/CSD,Male,2782
2014-2015,10,DALLAS COUNTY,EVOLUTION ACADEMY CHARTER SCHOOL,057834,OPEN ENROLLMENT CHARTER,Female,368
2014-2015,10,DALLAS COUNTY,EVOLUTION ACADEMY CHARTER SCHOOL,057834,OPEN ENROLLMENT CHARTER,Male,426
2014-2015,04,HARRIS COUNTY,EXCEL ACADEMY,101811,OPEN ENROLLMENT CHARTER,Female,59
2014-2015,04,HARRIS COUNTY,EXCEL ACADEMY,101811,OPEN ENROLLMENT CHARTER,Male,417
2014-2015,01,HIDALGO COUNTY,EXCELLENCE IN LEADERSHIP ACADEMY,108809,OPEN ENROLLMENT CHARTER,Female,99
2014-2015,01,HIDALGO COUNTY,EXCELLENCE IN LEADERSHIP ACADEMY,108809,OPEN ENROLLMENT CHARTER,Male,86
2014-2015,07,SHELBY COUNTY,EXCELSIOR ISD,210906,TRADITIONAL ISD/CSD,Female,43
2014-2015,07,SHELBY COUNTY,EXCELSIOR ISD,210906,TRADITIONAL ISD/CSD,Male,49
2014-2015,03,LAVACA COUNTY,EZZELL ISD,143906,TRADITIONAL ISD/CSD,Female,43
2014-2015,03,LAVACA COUNTY,EZZELL ISD,143906,TRADITIONAL ISD/CSD,Male,38
2014-2015,19,EL PASO COUNTY,FABENS ISD,071903,TRADITIONAL ISD/CSD,Female,1111
2014-2015,19,EL PASO COUNTY,FABENS ISD,071903,TRADITIONAL ISD/CSD,Male,1222
2014-2015,12,FREESTONE COUNTY,FAIRFIELD ISD,081902,TRADITIONAL ISD/CSD,Female,868
2014-2015,12,FREESTONE COUNTY,FAIRFIELD ISD,081902,TRADITIONAL ISD/CSD,Male,896
2014-2015,10,DALLAS COUNTY,FAITH FAMILY ACADEMY OF OAK CLIFF,057815,OPEN ENROLLMENT CHARTER,Female,1216
2014-2015,10,DALLAS COUNTY,FAITH FAMILY ACADEMY OF OAK CLIFF,057815,OPEN ENROLLMENT CHARTER,Male,1174
2014-2015,04,HARRIS COUNTY,FALLBROOK COLLEGE PREPARATORY ACAD,101867,OPEN ENROLLMENT CHARTER,Female,273
2014-2015,04,HARRIS COUNTY,FALLBROOK COLLEGE PREPARATORY ACAD,101867,OPEN ENROLLMENT CHARTER,Male,283
2014-2015,20,KARNES COUNTY,FALLS CITY ISD,128904,TRADITIONAL ISD/CSD,Female,180
2014-2015,20,KARNES COUNTY,FALLS CITY ISD,128904,TRADITIONAL ISD/CSD,Male,180
2014-2015,08,DELTA COUNTY,FANNINDEL ISD,060914,TRADITIONAL ISD/CSD,Female,86
2014-2015,08,DELTA COUNTY,FANNINDEL ISD,060914,TRADITIONAL ISD/CSD,Male,87
2014-2015,10,COLLIN COUNTY,FARMERSVILLE ISD,043904,TRADITIONAL ISD/CSD,Female,781
2014-2015,10,COLLIN COUNTY,FARMERSVILLE ISD,043904,TRADITIONAL ISD/CSD,Male,768
2014-2015,16,PARMER COUNTY,FARWELL ISD,185902,TRADITIONAL ISD/CSD,Female,252
2014-2015,16,PARMER COUNTY,FARWELL ISD,185902,TRADITIONAL ISD/CSD,Male,300
2014-2015,13,FAYETTE COUNTY,FAYETTEVILLE ISD,075906,TRADITIONAL ISD/CSD,Female,105
2014-2015,13,FAYETTE COUNTY,FAYETTEVILLE ISD,075906,TRADITIONAL ISD/CSD,Male,106
2014-2015,10,ELLIS COUNTY,FERRIS ISD,070905,TRADITIONAL ISD/CSD,Female,1224
2014-2015,10,ELLIS COUNTY,FERRIS ISD,070905,TRADITIONAL ISD/CSD,Male,1230
2014-2015,13,FAYETTE COUNTY,FLATONIA ISD,075901,TRADITIONAL ISD/CSD,Female,301
2014-2015,13,FAYETTE COUNTY,FLATONIA ISD,075901,TRADITIONAL ISD/CSD,Male,312
2014-2015,13,WILLIAMSON COUNTY,FLORENCE ISD,246902,TRADITIONAL ISD/CSD,Female,449
2014-2015,13,WILLIAMSON COUNTY,FLORENCE ISD,246902,TRADITIONAL ISD/CSD,Male,546
2014-2015,20,WILSON COUNTY,FLORESVILLE ISD,247901,TRADITIONAL ISD/CSD,Female,1884
2014-2015,20,WILSON COUNTY,FLORESVILLE ISD,247901,TRADITIONAL ISD/CSD,Male,2065
2014-2015,02,NUECES COUNTY,FLOUR BLUFF ISD,178914,TRADITIONAL ISD/CSD,Female,2782
2014-2015,02,NUECES COUNTY,FLOUR BLUFF ISD,178914,TRADITIONAL ISD/CSD,Male,3011
2014-2015,17,FLOYD COUNTY,FLOYDADA ISD,077901,TRADITIONAL ISD/CSD,Female,356
2014-2015,17,FLOYD COUNTY,FLOYDADA ISD,077901,TRADITIONAL ISD/CSD,Male,400
2014-2015,10,DALLAS COUNTY,FOCUS LEARNING ACADEMY,057817,OPEN ENROLLMENT CHARTER,Female,436
2014-2015,10,DALLAS COUNTY,FOCUS LEARNING ACADEMY,057817,OPEN ENROLLMENT CHARTER,Male,449
2014-2015,16,LIPSCOMB COUNTY,FOLLETT ISD,148902,TRADITIONAL ISD/CSD,Female,89
2014-2015,16,LIPSCOMB COUNTY,FOLLETT ISD,148902,TRADITIONAL ISD/CSD,Male,103
2014-2015,09,MONTAGUE COUNTY,FORESTBURG ISD,169910,TRADITIONAL ISD/CSD,Female,103
2014-2015,09,MONTAGUE COUNTY,FORESTBURG ISD,169910,TRADITIONAL ISD/CSD,Male,89
2014-2015,10,KAUFMAN COUNTY,FORNEY ISD,129902,TRADITIONAL ISD/CSD,Female,4413
2014-2015,10,KAUFMAN COUNTY,FORNEY ISD,129902,TRADITIONAL ISD/CSD,Male,4582
2014-2015,18,HOWARD COUNTY,FORSAN ISD,114904,TRADITIONAL ISD/CSD,Female,370
2014-2015,18,HOWARD COUNTY,FORSAN ISD,114904,TRADITIONAL ISD/CSD,Male,369
2014-2015,04,FORT BEND COUNTY,FORT BEND ISD,079907,TRADITIONAL ISD/CSD,Female,34907
2014-2015,04,FORT BEND COUNTY,FORT BEND ISD,079907,TRADITIONAL ISD/CSD,Male,37245
2014-2015,16,WHEELER COUNTY,FORT ELLIOTT CISD,242906,TRADITIONAL ISD/CSD,Female,88
2014-2015,16,WHEELER COUNTY,FORT ELLIOTT CISD,242906,TRADITIONAL ISD/CSD,Male,80
2014-2015,18,PECOS COUNTY,FORT STOCKTON ISD,186902,TRADITIONAL ISD/CSD,Female,1219
2014-2015,18,PECOS COUNTY,FORT STOCKTON ISD,186902,TRADITIONAL ISD/CSD,Male,1267
2014-2015,11,TARRANT COUNTY,FORT WORTH ACADEMY OF FINE ARTS,220809,OPEN ENROLLMENT CHARTER,Female,371
2014-2015,11,TARRANT COUNTY,FORT WORTH ACADEMY OF FINE ARTS,220809,OPEN ENROLLMENT CHARTER,Male,146
2014-2015,11,TARRANT COUNTY,FORT WORTH ISD,220905,TRADITIONAL ISD/CSD,Female,42132
2014-2015,11,TARRANT COUNTY,FORT WORTH ISD,220905,TRADITIONAL ISD/CSD,Male,43843
2014-2015,06,ROBERTSON COUNTY,FRANKLIN ISD,198903,TRADITIONAL ISD/CSD,Female,513
2014-2015,06,ROBERTSON COUNTY,FRANKLIN ISD,198903,TRADITIONAL ISD/CSD,Male,590
2014-2015,07,ANDERSON COUNTY,FRANKSTON ISD,001904,TRADITIONAL ISD/CSD,Female,379
2014-2015,07,ANDERSON COUNTY,FRANKSTON ISD,001904,TRADITIONAL ISD/CSD,Male,424
2014-2015,13,GILLESPIE COUNTY,FREDERICKSBURG ISD,086901,TRADITIONAL ISD/CSD,Female,1420
2014-2015,13,GILLESPIE COUNTY,FREDERICKSBURG ISD,086901,TRADITIONAL ISD/CSD,Male,1589
2014-2015,02,DUVAL COUNTY,FREER ISD,066903,TRADITIONAL ISD/CSD,Female,388
2014-2015,02,DUVAL COUNTY,FREER ISD,066903,TRADITIONAL ISD/CSD,Male,390
2014-2015,17,LUBBOCK COUNTY,FRENSHIP ISD,152907,TRADITIONAL ISD/CSD,Female,4216
2014-2015,17,LUBBOCK COUNTY,FRENSHIP ISD,152907,TRADITIONAL ISD/CSD,Male,4609
2014-2015,04,GALVESTON COUNTY,FRIENDSWOOD ISD,084911,TRADITIONAL ISD/CSD,Female,2980
2014-2015,04,GALVESTON COUNTY,FRIENDSWOOD ISD,084911,TRADITIONAL ISD/CSD,Male,3126
2014-2015,16,PARMER COUNTY,FRIONA ISD,185903,TRADITIONAL ISD/CSD,Female,563
2014-2015,16,PARMER COUNTY,FRIONA ISD,185903,TRADITIONAL ISD/CSD,Male,587
2014-2015,10,COLLIN COUNTY,FRISCO ISD,043905,TRADITIONAL ISD/CSD,Female,24185
2014-2015,10,COLLIN COUNTY,FRISCO ISD,043905,TRADITIONAL ISD/CSD,Male,25459
2014-2015,12,NAVARRO COUNTY,FROST ISD,175905,TRADITIONAL ISD/CSD,Female,187
2014-2015,12,NAVARRO COUNTY,FROST ISD,175905,TRADITIONAL ISD/CSD,Male,229
2014-2015,07,VAN ZANDT COUNTY,FRUITVALE ISD,234909,TRADITIONAL ISD/CSD,Female,202
2014-2015,07,VAN ZANDT COUNTY,FRUITVALE ISD,234909,TRADITIONAL ISD/CSD,Male,191
2014-2015,18,JEFF DAVIS COUNTY,FT DAVIS ISD,122901,TRADITIONAL ISD/CSD,Female,106
2014-2015,18,JEFF DAVIS COUNTY,FT DAVIS ISD,122901,TRADITIONAL ISD/CSD,Male,111
2014-2015,19,HUDSPETH COUNTY,FT HANCOCK ISD,115901,TRADITIONAL ISD/CSD,Female,215
2014-2015,19,HUDSPETH COUNTY,FT HANCOCK ISD,115901,TRADITIONAL ISD/CSD,Male,225
2014-2015,20,BEXAR COUNTY,FT SAM HOUSTON ISD,015914,TRADITIONAL ISD/CSD,Female,746
2014-2015,20,BEXAR COUNTY,FT SAM HOUSTON ISD,015914,TRADITIONAL ISD/CSD,Male,768
2014-2015,11,COOKE COUNTY,GAINESVILLE ISD,049901,TRADITIONAL ISD/CSD,Female,1384
2014-2015,11,COOKE COUNTY,GAINESVILLE ISD,049901,TRADITIONAL ISD/CSD,Male,1474
2014-2015,04,HARRIS COUNTY,GALENA PARK ISD,101910,TRADITIONAL ISD/CSD,Female,11049
2014-2015,04,HARRIS COUNTY,GALENA PARK ISD,101910,TRADITIONAL ISD/CSD,Male,11676
2014-2015,04,GALVESTON COUNTY,GALVESTON ISD,084902,TRADITIONAL ISD/CSD,Female,3409
2014-2015,04,GALVESTON COUNTY,GALVESTON ISD,084902,TRADITIONAL ISD/CSD,Male,3565
2014-2015,03,JACKSON COUNTY,GANADO ISD,120902,TRADITIONAL ISD/CSD,Female,390
2014-2015,03,JACKSON COUNTY,GANADO ISD,120902,TRADITIONAL ISD/CSD,Male,388
2014-2015,10,DALLAS COUNTY,GARLAND ISD,057909,TRADITIONAL ISD/CSD,Female,27827
2014-2015,10,DALLAS COUNTY,GARLAND ISD,057909,TRADITIONAL ISD/CSD,Male,29609
2014-2015,11,PARKER COUNTY,GARNER ISD,184911,TRADITIONAL ISD/CSD,Female,116
2014-2015,11,PARKER COUNTY,GARNER ISD,184911,TRADITIONAL ISD/CSD,Male,83
2014-2015,07,NACOGDOCHES COUNTY,GARRISON ISD,174903,TRADITIONAL ISD/CSD,Female,313
2014-2015,07,NACOGDOCHES COUNTY,GARRISON ISD,174903,TRADITIONAL ISD/CSD,Male,421
2014-2015,07,PANOLA COUNTY,GARY ISD,183904,TRADITIONAL ISD/CSD,Female,216
2014-2015,07,PANOLA COUNTY,GARY ISD,183904,TRADITIONAL ISD/CSD,Male,242
2014-2015,12,CORYELL COUNTY,GATESVILLE ISD,050902,TRADITIONAL ISD/CSD,Female,1350
2014-2015,12,CORYELL COUNTY,GATESVILLE ISD,050902,TRADITIONAL ISD/CSD,Male,1470
2014-2015,01,WEBB COUNTY,GATEWAY ACADEMY CHARTER DISTRICT,240801,OPEN ENROLLMENT CHARTER,Female,204
2014-2015,01,WEBB COUNTY,GATEWAY ACADEMY CHARTER DISTRICT,240801,OPEN ENROLLMENT CHARTER,Male,157
2014-2015,10,DALLAS COUNTY,GATEWAY CHARTER ACADEMY,057831,OPEN ENROLLMENT CHARTER,Female,342
2014-2015,10,DALLAS COUNTY,GATEWAY CHARTER ACADEMY,057831,OPEN ENROLLMENT CHARTER,Male,387
2014-2015,06,MILAM COUNTY,GAUSE ISD,166902,TRADITIONAL ISD/CSD,Female,100
2014-2015,06,MILAM COUNTY,GAUSE ISD,166902,TRADITIONAL ISD/CSD,Male,86
2014-2015,20,BEXAR COUNTY,GEORGE GERVIN ACADEMY,015802,OPEN ENROLLMENT CHARTER,Female,591
2014-2015,20,BEXAR COUNTY,GEORGE GERVIN ACADEMY,015802,OPEN ENROLLMENT CHARTER,Male,532
2014-2015,04,HARRIS COUNTY,GEORGE I SANCHEZ CHARTER,101804,OPEN ENROLLMENT CHARTER,Female,354
2014-2015,04,HARRIS COUNTY,GEORGE I SANCHEZ CHARTER,101804,OPEN ENROLLMENT CHARTER,Male,384
2014-2015,02,LIVE OAK COUNTY,GEORGE WEST ISD,149901,TRADITIONAL ISD/CSD,Female,547
2014-2015,02,LIVE OAK COUNTY,GEORGE WEST ISD,149901,TRADITIONAL ISD/CSD,Male,586
2014-2015,13,WILLIAMSON COUNTY,GEORGETOWN ISD,246904,TRADITIONAL ISD/CSD,Female,5092
2014-2015,13,WILLIAMSON COUNTY,GEORGETOWN ISD,246904,TRADITIONAL ISD/CSD,Male,5559
2014-2015,12,MCLENNAN COUNTY,GHOLSON ISD,161925,TRADITIONAL ISD/CSD,Female,133
2014-2015,12,MCLENNAN COUNTY,GHOLSON ISD,161925,TRADITIONAL ISD/CSD,Male,115
2014-2015,13,LEE COUNTY,GIDDINGS ISD,144901,TRADITIONAL ISD/CSD,Female,960
2014-2015,13,LEE COUNTY,GIDDINGS ISD,144901,TRADITIONAL ISD/CSD,Male,1001
2014-2015,07,UPSHUR COUNTY,GILMER ISD,230902,TRADITIONAL ISD/CSD,Female,1131
2014-2015,07,UPSHUR COUNTY,GILMER ISD,230902,TRADITIONAL ISD/CSD,Male,1287
2014-2015,04,HARRIS COUNTY,GIRLS & BOYS PREPARATORY ACADEMY,101805,OPEN ENROLLMENT CHARTER,Female,390
2014-2015,04,HARRIS COUNTY,GIRLS & BOYS PREPARATORY ACADEMY,101805,OPEN ENROLLMENT CHARTER,Male,355
2014-2015,07,GREGG COUNTY,GLADEWATER ISD,092901,TRADITIONAL ISD/CSD,Female,860
2014-2015,07,GREGG COUNTY,GLADEWATER ISD,092901,TRADITIONAL ISD/CSD,Male,992
2014-2015,18,GLASSCOCK COUNTY,GLASSCOCK COUNTY ISD,087901,TRADITIONAL ISD/CSD,Female,145
2014-2015,18,GLASSCOCK COUNTY,GLASSCOCK COUNTY ISD,087901,TRADITIONAL ISD/CSD,Male,163
2014-2015,11,SOMERVELL COUNTY,GLEN ROSE ISD,213901,TRADITIONAL ISD/CSD,Female,824
2014-2015,11,SOMERVELL COUNTY,GLEN ROSE ISD,213901,TRADITIONAL ISD/CSD,Male,843
2014-2015,04,HARRIS COUNTY,GLOBAL LEARNING VILLAGE,101866,OPEN ENROLLMENT CHARTER,Female,32
2014-2015,04,HARRIS COUNTY,GLOBAL LEARNING VILLAGE,101866,OPEN ENROLLMENT CHARTER,Male,37
2014-2015,11,JOHNSON COUNTY,GODLEY ISD,126911,TRADITIONAL ISD/CSD,Female,875
2014-2015,11,JOHNSON COUNTY,GODLEY ISD,126911,TRADITIONAL ISD/CSD,Male,956
2014-2015,09,MONTAGUE COUNTY,GOLD BURG ISD,169906,TRADITIONAL ISD/CSD,Female,66
2014-2015,09,MONTAGUE COUNTY,GOLD BURG ISD,169906,TRADITIONAL ISD/CSD,Male,71
2014-2015,10,DALLAS COUNTY,GOLDEN RULE CHARTER SCHOOL,057835,OPEN ENROLLMENT CHARTER,Female,782
2014-2015,10,DALLAS COUNTY,GOLDEN RULE CHARTER SCHOOL,057835,OPEN ENROLLMENT CHARTER,Male,749
2014-2015,12,MILLS COUNTY,GOLDTHWAITE ISD,167901,TRADITIONAL ISD/CSD,Female,300
2014-2015,12,MILLS COUNTY,GOLDTHWAITE ISD,167901,TRADITIONAL ISD/CSD,Male,303
2014-2015,03,GOLIAD COUNTY,GOLIAD ISD,088902,TRADITIONAL ISD/CSD,Female,672
2014-2015,03,GOLIAD COUNTY,GOLIAD ISD,088902,TRADITIONAL ISD/CSD,Male,736
2014-2015,13,GONZALES COUNTY,GONZALES ISD,089901,TRADITIONAL ISD/CSD,Female,1352
2014-2015,13,GONZALES COUNTY,GONZALES ISD,089901,TRADITIONAL ISD/CSD,Male,1448
2014-2015,06,POLK COUNTY,GOODRICH ISD,187903,TRADITIONAL ISD/CSD,Female,113
2014-2015,06,POLK COUNTY,GOODRICH ISD,187903,TRADITIONAL ISD/CSD,Male,128
2014-2015,04,HARRIS COUNTY,GOOSE CREEK CISD,101911,TRADITIONAL ISD/CSD,Female,11272
2014-2015,04,HARRIS COUNTY,GOOSE CREEK CISD,101911,TRADITIONAL ISD/CSD,Male,11897
2014-2015,11,PALO PINTO COUNTY,GORDON ISD,182901,TRADITIONAL ISD/CSD,Female,94
2014-2015,11,PALO PINTO COUNTY,GORDON ISD,182901,TRADITIONAL ISD/CSD,Male,107
2014-2015,14,EASTLAND COUNTY,GORMAN ISD,067904,TRADITIONAL ISD/CSD,Female,165
2014-2015,14,EASTLAND COUNTY,GORMAN ISD,067904,TRADITIONAL ISD/CSD,Male,158
2014-2015,18,MARTIN COUNTY,GRADY ISD,156905,TRADITIONAL ISD/CSD,Female,110
2014-2015,18,MARTIN COUNTY,GRADY ISD,156905,TRADITIONAL ISD/CSD,Male,121
2014-2015,11,PALO PINTO COUNTY,GRAFORD ISD,182902,TRADITIONAL ISD/CSD,Female,161
2014-2015,11,PALO PINTO COUNTY,GRAFORD ISD,182902,TRADITIONAL ISD/CSD,Male,174
2014-2015,09,YOUNG COUNTY,GRAHAM ISD,252901,TRADITIONAL ISD/CSD,Female,1248
2014-2015,09,YOUNG COUNTY,GRAHAM ISD,252901,TRADITIONAL ISD/CSD,Male,1251
2014-2015,11,HOOD COUNTY,GRANBURY ISD,111901,TRADITIONAL ISD/CSD,Female,3233
2014-2015,11,HOOD COUNTY,GRANBURY ISD,111901,TRADITIONAL ISD/CSD,Male,3636
2014-2015,10,DALLAS COUNTY,GRAND PRAIRIE ISD,057910,TRADITIONAL ISD/CSD,Female,13978
2014-2015,10,DALLAS COUNTY,GRAND PRAIRIE ISD,057910,TRADITIONAL ISD/CSD,Male,14362
2014-2015,07,VAN ZANDT COUNTY,GRAND SALINE ISD,234904,TRADITIONAL ISD/CSD,Female,528
2014-2015,07,VAN ZANDT COUNTY,GRAND SALINE ISD,234904,TRADITIONAL ISD/CSD,Male,574
2014-2015,18,WARD COUNTY,GRANDFALLS-ROYALTY ISD,238904,TRADITIONAL ISD/CSD,Female,62
2014-2015,18,WARD COUNTY,GRANDFALLS-ROYALTY ISD,238904,TRADITIONAL ISD/CSD,Male,81
2014-2015,11,JOHNSON COUNTY,GRANDVIEW ISD,126904,TRADITIONAL ISD/CSD,Female,511
2014-2015,11,JOHNSON COUNTY,GRANDVIEW ISD,126904,TRADITIONAL ISD/CSD,Male,610
2014-2015,16,GRAY COUNTY,GRANDVIEW-HOPKINS ISD,090905,TRADITIONAL ISD/CSD,Female,20
2014-2015,16,GRAY COUNTY,GRANDVIEW-HOPKINS ISD,090905,TRADITIONAL ISD/CSD,Male,22
2014-2015,13,WILLIAMSON COUNTY,GRANGER ISD,246905,TRADITIONAL ISD/CSD,Female,185
2014-2015,13,WILLIAMSON COUNTY,GRANGER ISD,246905,TRADITIONAL ISD/CSD,Male,241
2014-2015,15,TOM GREEN COUNTY,GRAPE CREEK ISD,226907,TRADITIONAL ISD/CSD,Female,517
2014-2015,15,TOM GREEN COUNTY,GRAPE CREEK ISD,226907,TRADITIONAL ISD/CSD,Male,591
